id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
570154000001,"City of Alma, Precinct 1",148,109,24,3
570154000002,"City of Alma, Precinct 2",120,154,27,3
570154000003,"City of Alma, Precinct 3",95,116,46,2
574134000001,"City of Ithaca, Precinct 1",147,116,26,1
577100000001,"City of St. Louis, Precinct 1",97,153,41,1
570326000001,"Arcada Township, Precinct 1",74,41,30,1
570802000001,"Bethany Township, Precinct 1",27,35,3,0
572512000001,"Elba Township, Precinct 1",26,52,16,1
572588000001,"Emerson Township, Precinct 1",22,26,21,0
573108000001,"Fulton Township, Precinct 1",87,114,26,2
573616000001,"Hamilton Township, Precinct 1",16,20,5,0
574408000001,"Lafayette Township, Precinct 1",10,13,9,0
575736000001,"New Haven Township, Precinct 1",25,37,4,0
575704000001,"Newark Township, Precinct 1",34,32,7,0
575880000001,"North Shade Township, Precinct 1",12,11,5,0
575888000001,"North Star Township, Precinct 1",35,28,8,0
576436000001,"Pine River Township, Precinct 1",81,97,25,0
577258000001,"Seville Township, Precinct 1",76,76,17,1
577730000001,"Sumner Township, Precinct 1",50,48,23,1
578408000001,"Washington Township, Precinct 1",37,23,4,2
578662000001,"Wheeler Township, Precinct 1",80,86,34,1
