id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
1233070000001,"City of Fremont, Precinct 1",118,133,18,0
1233070000002,"City of Fremont, Precinct 2",78,114,26,1
1233436000001,"City of Grant, Precinct 1",17,22,8,1
1235708000001,"City of Newaygo, Precinct 1",64,93,18,3
1238668000001,"City of White Cloud, Precinct 1",35,42,12,1
1230370000001,"Ashland Township, Precinct 1",85,80,35,1
1230562000001,"Barton Township, Precinct 1",15,28,7,0
1230658000001,"Beaver Township, Precinct 1",13,17,2,1
1230828000001,"Big Prairie Township, Precinct 1",66,65,32,1
1231050000001,"Bridgeton Township, Precinct 1",66,109,15,2
1231106000001,"Brooks Township, Precinct 1",129,149,35,5
1231898000001,"Croton Township, Precinct 1",170,115,54,2
1231996000001,"Dayton Township, Precinct 1",86,79,16,0
1232170000001,"Denver Township, Precinct 1",69,52,17,0
1232616000001,"Ensley Township, Precinct 1",79,68,33,1
1232670000001,"Everett Township, Precinct 1",62,81,17,1
1233164000001,"Garfield Township, Precinct 1",71,100,25,0
1233300000001,"Goodwell Township, Precinct 1",14,13,8,0
1233438000001,"Grant Township, Precinct 1",86,104,22,0
1233886000001,"Home Township, Precinct 1",7,13,6,0
1234744000001,"Lilley Township, Precinct 1",29,21,27,0
1234770000001,"Lincoln Township, Precinct 1",55,73,8,0
1235316000001,"Merrill Township, Precinct 1",13,26,14,1
1235506000001,"Monroe Township, Precinct 1",6,10,3,0
1235930000001,"Norwich Township, Precinct 1",28,14,2,1
1237312000001,"Sheridan Charter Township, Precinct 1",75,116,14,0
1237326000001,"Sherman Township, Precinct 1",69,70,20,0
1238068000001,"Troy Township, Precinct 1",2,9,4,1
1238720000001,"Wilcox Township, Precinct 1",22,48,10,0
