id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
690076000001,"Alabaster Township, Precinct 1",39,27,11,0
690430000001,"AuSable Township, Precinct 1",157,84,20,1
690492000001,"Baldwin Township, Precinct 1",151,60,22,2
691174000001,"Burleigh Township, Precinct 1",34,19,3,0
693428000001,"Grant Township, Precinct 1",105,62,22,1
696134000001,"Oscoda Township, Precinct 1",104,59,21,1
696134000002,"Oscoda Township, Precinct 2",73,36,12,0
696464000001,"Plainfield Township, Precinct 1",87,54,14,0
696464000002,"Plainfield Township, Precinct 2",168,60,46,1
696796000001,"Reno Township, Precinct 1",39,17,6,1
697318000001,"Sherman Township, Precinct 1",16,14,2,1
697810000001,"Tawas Township, Precinct 1",77,43,16,0
698718000001,"Wilber Township, Precinct 1",65,27,14,0
692442000001,"City of East Tawas, Precinct 1",228,139,40,1
697814000001,"City of Tawas City, Precinct 1",87,73,29,2
698714000001,"City of Whittemore, Precinct 1",11,12,3,0
