id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
490342000001,"Argentine Township, Precinct 1",215,,,1,105,72,37
490342000002,"Argentine Township, Precinct 2",141,,,0,69,36,36
490342000003,"Argentine Township, Precinct 3",55,,,0,25,20,10
490400000001,"Atlas Township, Precinct 1",171,,,1,75,70,25
490400000002,"Atlas Township, Precinct 2",82,,,1,36,26,19
490400000003,"Atlas Township, Precinct 3",247,,,0,139,66,42
491206000001,"City of Burton, Precinct 1",23,,,0,16,2,5
491206000002,"City of Burton, Precinct 2",62,,,0,30,14,18
491206000003,"City of Burton, Precinct 3",104,,,0,60,28,16
491206000004,"City of Burton, Precinct 4",157,,,1,83,50,23
491206000005,"City of Burton, Precinct 5",125,,,1,75,29,20
491206000006,"City of Burton, Precinct 6",98,,,0,68,14,16
491206000007,"City of Burton, Precinct 7",137,,,0,67,47,23
491626000001,"Clayton Township, Precinct 1",21,,,0,12,6,3
491626000002,"Clayton Township, Precinct 2",20,,,0,9,9,2
491626000003,"Clayton Township, Precinct 3",4,,,0,4,0,0
491626000004,"Clayton Township, Precinct 4",15,,,0,5,7,3
491662000001,"City of Clio, Precinct 1",25,,,0,16,7,2
491988000001,"City of Davison, Precinct 1",82,,,0,40,29,13
491988000002,"City of Davison, Precinct 2",74,,,0,35,16,23
491990000001,"Davison Township, Precinct 1",97,,,0,59,24,14
491990000002,"Davison Township, Precinct 2",123,,,0,62,40,21
491990000003,"Davison Township, Precinct 3",105,,,1,49,31,24
491990000004,"Davison Township, Precinct 4",168,,,0,103,49,16
491990000005,"Davison Township, Precinct 5",40,,,1,10,23,6
491990000006,"Davison Township, Precinct 6",85,,,0,42,15,28
491990000007,"Davison Township, Precinct 7",120,,,0,68,31,21
491990000008,"Davison Township, Precinct 8",153,,,0,74,53,26
492776000001,"City of Fenton, Precinct 1",60,,,0,40,13,7
492776000002,"City of Fenton, Precinct 2",162,,,0,79,54,29
492776000003,"City of Fenton, Precinct 3",149,,,0,54,63,32
492778000001,"Fenton Township, Precinct 1",201,,,0,89,84,28
492778000002,"Fenton Township, Precinct 2",188,,,0,110,51,27
492778000003,"Fenton Township, Precinct 3",207,,,1,99,67,40
492778000004,"Fenton Township, Precinct 4",227,,,0,111,67,49
492778000005,"Fenton Township, Precinct 5",165,,,0,73,69,23
492778000006,"Fenton Township, Precinct 6",222,,,0,103,74,45
492900001001,"City of Flint, Precinct 1",3,,,0,0,1,2
492900001002,"City of Flint, Precinct 2",12,,,1,5,3,3
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0
492900002004,"City of Flint, Precinct 4",0,,,0,0,0,0
492900002005,"City of Flint, Precinct 5",7,,,0,5,0,2
492900002006,"City of Flint, Precinct 6",3,,,0,3,0,0
492900002007,"City of Flint, Precinct 7",1,,,0,1,0,0
492900003008,"City of Flint, Precinct 8",0,,,0,0,0,0
