id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
490342000001,"Argentine Township, Precinct 1",173,,,1,77,61,34
490342000002,"Argentine Township, Precinct 2",92,,,0,43,25,24
490342000003,"Argentine Township, Precinct 3",42,,,0,19,14,9
490400000001,"Atlas Township, Precinct 1",130,,,1,59,52,18
490400000002,"Atlas Township, Precinct 2",58,,,1,28,20,9
490400000003,"Atlas Township, Precinct 3",191,,,0,105,52,34
491206000001,"City of Burton, Precinct 1",23,,,0,16,2,5
491206000002,"City of Burton, Precinct 2",57,,,0,28,13,16
491206000003,"City of Burton, Precinct 3",94,,,0,57,25,12
491206000004,"City of Burton, Precinct 4",141,,,1,75,46,19
491206000005,"City of Burton, Precinct 5",113,,,1,68,24,20
491206000006,"City of Burton, Precinct 6",90,,,0,62,12,16
491206000007,"City of Burton, Precinct 7",112,,,0,60,35,17
491626000001,"Clayton Township, Precinct 1",0,,,0,0,0,0
491626000002,"Clayton Township, Precinct 2",0,,,0,0,0,0
491626000003,"Clayton Township, Precinct 3",0,,,0,0,0,0
491626000004,"Clayton Township, Precinct 4",0,,,0,0,0,0
491662000001,"City of Clio, Precinct 1",0,,,0,0,0,0
491988000001,"City of Davison, Precinct 1",74,,,0,34,28,12
491988000002,"City of Davison, Precinct 2",58,,,0,30,11,17
491990000001,"Davison Township, Precinct 1",78,,,0,50,18,10
491990000002,"Davison Township, Precinct 2",97,,,0,51,31,15
491990000003,"Davison Township, Precinct 3",87,,,0,39,24,24
491990000004,"Davison Township, Precinct 4",151,,,0,90,45,16
491990000005,"Davison Township, Precinct 5",35,,,1,8,20,6
491990000006,"Davison Township, Precinct 6",62,,,0,33,9,20
491990000007,"Davison Township, Precinct 7",100,,,0,57,28,15
491990000008,"Davison Township, Precinct 8",135,,,0,64,47,24
492776000001,"City of Fenton, Precinct 1",60,,,0,40,13,7
492776000002,"City of Fenton, Precinct 2",162,,,0,79,54,29
492776000003,"City of Fenton, Precinct 3",149,,,0,54,63,32
492778000001,"Fenton Township, Precinct 1",165,,,0,69,72,24
492778000002,"Fenton Township, Precinct 2",156,,,0,87,44,25
492778000003,"Fenton Township, Precinct 3",176,,,1,83,57,35
492778000004,"Fenton Township, Precinct 4",199,,,0,97,56,46
492778000005,"Fenton Township, Precinct 5",145,,,0,68,58,19
492778000006,"Fenton Township, Precinct 6",199,,,0,92,67,40
492900001001,"City of Flint, Precinct 1",3,,,0,0,1,2
492900001002,"City of Flint, Precinct 2",10,,,1,3,3,3
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0
492900002004,"City of Flint, Precinct 4",0,,,0,0,0,0
492900002005,"City of Flint, Precinct 5",6,,,0,4,0,2
