id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
490342000001,"Argentine Township, Precinct 1",42,,,0,28,11,3
490342000002,"Argentine Township, Precinct 2",49,,,0,26,11,12
490342000003,"Argentine Township, Precinct 3",13,,,0,6,6,1
490400000001,"Atlas Township, Precinct 1",41,,,0,16,18,7
490400000002,"Atlas Township, Precinct 2",24,,,0,8,6,10
490400000003,"Atlas Township, Precinct 3",56,,,0,34,14,8
491206000001,"City of Burton, Precinct 1",0,,,0,0,0,0
491206000002,"City of Burton, Precinct 2",5,,,0,2,1,2
491206000003,"City of Burton, Precinct 3",10,,,0,3,3,4
491206000004,"City of Burton, Precinct 4",16,,,0,8,4,4
491206000005,"City of Burton, Precinct 5",12,,,0,7,5,0
491206000006,"City of Burton, Precinct 6",8,,,0,6,2,0
491206000007,"City of Burton, Precinct 7",25,,,0,7,12,6
491626000001,"Clayton Township, Precinct 1",21,,,0,12,6,3
491626000002,"Clayton Township, Precinct 2",20,,,0,9,9,2
491626000003,"Clayton Township, Precinct 3",4,,,0,4,0,0
491626000004,"Clayton Township, Precinct 4",15,,,0,5,7,3
491662000001,"City of Clio, Precinct 1",25,,,0,16,7,2
491988000001,"City of Davison, Precinct 1",8,,,0,6,1,1
491988000002,"City of Davison, Precinct 2",16,,,0,5,5,6
491990000001,"Davison Township, Precinct 1",19,,,0,9,6,4
491990000002,"Davison Township, Precinct 2",26,,,0,11,9,6
491990000003,"Davison Township, Precinct 3",18,,,1,10,7,0
491990000004,"Davison Township, Precinct 4",17,,,0,13,4,0
491990000005,"Davison Township, Precinct 5",5,,,0,2,3,0
491990000006,"Davison Township, Precinct 6",23,,,0,9,6,8
491990000007,"Davison Township, Precinct 7",20,,,0,11,3,6
491990000008,"Davison Township, Precinct 8",18,,,0,10,6,2
492776000001,"City of Fenton, Precinct 1",0,,,0,0,0,0
492776000002,"City of Fenton, Precinct 2",0,,,0,0,0,0
492776000003,"City of Fenton, Precinct 3",0,,,0,0,0,0
492778000001,"Fenton Township, Precinct 1",36,,,0,20,12,4
492778000002,"Fenton Township, Precinct 2",32,,,0,23,7,2
492778000003,"Fenton Township, Precinct 3",31,,,0,16,10,5
492778000004,"Fenton Township, Precinct 4",28,,,0,14,11,3
492778000005,"Fenton Township, Precinct 5",20,,,0,5,11,4
492778000006,"Fenton Township, Precinct 6",23,,,0,11,7,5
492900001001,"City of Flint, Precinct 1",0,,,0,0,0,0
492900001002,"City of Flint, Precinct 2",2,,,0,2,0,0
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0
492900002004,"City of Flint, Precinct 4",0,,,0,0,0,0
492900002005,"City of Flint, Precinct 5",1,,,0,1,0,0
492900002006,"City of Flint, Precinct 6",0,,,0,0,0,0
492900002007,"City of Flint, Precinct 7",0,,,0,0,0,0
492900003008,"City of Flint, Precinct 8",0,,,0,0,0,0
492900003009,"City of Flint, Precinct 9",0,,,0,0,0,0
492900003010,"City of Flint, Precinct 10",0,,,0,0,0,0
492900004011,"City of Flint, Precinct 11",2,,,0,2,0,0
492900004012,"City of Flint, Precinct 12",5,,,0,1,4,0
492900005013,"City of Flint, Precinct 13",0,,,0,0,0,0
492900005014,"City of Flint, Precinct 14",3,,,0,1,2,0
492900005015,"City of Flint, Precinct 15",6,,,0,1,2,3
492900006016,"City of Flint, Precinct 16",0,,,0,0,0,0
492900006017,"City of Flint, Precinct 17",3,,,0,2,1,0
492900006018,"City of Flint, Precinct 18",0,,,0,0,0,0
492900007019,"City of Flint, Precinct 19",0,,,0,0,0,0
492900007020,"City of Flint, Precinct 20",1,,,0,1,0,0
492900007021,"City of Flint, Precinct 21",4,,,0,0,3,1
492900008022,"City of Flint, Precinct 22",0,,,0,0,0,0
492900008023,"City of Flint, Precinct 23",8,,,0,6,0,2
