id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal
550020000001,"Acme Township, Precinct 1",203,,,0,142,41,20
550020000002,"Acme Township, Precinct 2",134,,,0,109,18,7
550888000001,"Blair Township, Precinct 1",132,,,0,96,20,16
550888000002,"Blair Township, Precinct 2",170,,,0,129,22,19
550888000003,"Blair Township, Precinct 3",114,,,0,89,14,11
552380000001,"East Bay Township, Precinct 1",225,,,0,189,18,18
552380000004,"East Bay Township, Precinct 4",194,,,0,156,22,16
552380000005,"East Bay Township, Precinct 5",170,,,1,136,23,10
552380000006,"East Bay Township, Precinct 6",393,,,2,290,59,42
552802000001,"Fife Lake Township, Precinct 1",127,,,0,108,9,10
553158000001,"Garfield Township, Precinct 1",200,,,0,164,19,17
553158000002,"Garfield Township, Precinct 2",226,,,0,153,48,25
553158000003,"Garfield Township, Precinct 3",91,,,0,66,17,8
553158000004,"Garfield Township, Precinct 4",123,,,0,101,17,5
553158000005,"Garfield Township, Precinct 5",258,,,0,198,27,33
553158000006,"Garfield Township, Precinct 6",177,,,0,135,33,9
553158000007,"Garfield Township, Precinct 7",52,,,0,35,11,6
553424000001,"Grant Township, Precinct 1",0,,,0,0,0,0
553496000001,"Green Lake Township, Precinct 1",177,,,0,127,27,23
553496000002,"Green Lake Township, Precinct 2",116,,,0,90,16,10
553496000003,"Green Lake Township, Precinct 3",110,,,1,78,12,19
554924000001,"Long Lake Township, Precinct 1",363,,,0,287,36,40
554924000002,"Long Lake Township, Precinct 2",314,,,0,236,39,39
555248000001,"Mayfield Township, Precinct 1",0,,,0,0,0,0
556232000001,"Paradise Township, Precinct 1",0,,,0,0,0,0
556232000002,"Paradise Township, Precinct 2",0,,,0,0,0,0
556334000001,"Peninsula Township, Precinct 1",402,,,2,323,40,37
556334000002,"Peninsula Township, Precinct 2",330,,,0,272,36,22
558132000001,"Union Township, Precinct 1",0,,,0,0,0,0
558704000001,"Whitewater Township, Precinct 1",285,,,0,219,24,42
558034000001,"Traverse City, Precinct 1",149,,,0,128,15,6
558034000003,"Traverse City, Precinct 3",90,,,0,63,18,9
558034000007,"Traverse City, Precinct 7",99,,,0,61,22,16
558034000008,"Traverse City, Precinct 8",94,,,0,65,14,15
558034000009,"Traverse City, Precinct 9",129,,,0,96,26,7
558034000010,"Traverse City, Precinct 10",131,,,0,91,24,16
