id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal
550020000001,"Acme Township, Precinct 1",13,,,0,9,4,0
550020000002,"Acme Township, Precinct 2",5,,,0,5,0,0
550888000001,"Blair Township, Precinct 1",24,,,0,14,6,4
550888000002,"Blair Township, Precinct 2",27,,,0,18,5,4
550888000003,"Blair Township, Precinct 3",14,,,0,10,0,4
552380000001,"East Bay Township, Precinct 1",17,,,0,13,0,4
552380000004,"East Bay Township, Precinct 4",25,,,0,18,5,2
552380000005,"East Bay Township, Precinct 5",43,,,1,35,5,2
552380000006,"East Bay Township, Precinct 6",44,,,0,32,9,3
552802000001,"Fife Lake Township, Precinct 1",47,,,0,40,4,3
553158000001,"Garfield Township, Precinct 1",20,,,0,17,2,1
553158000002,"Garfield Township, Precinct 2",18,,,0,14,4,0
553158000003,"Garfield Township, Precinct 3",8,,,0,5,0,3
553158000004,"Garfield Township, Precinct 4",16,,,0,15,1,0
553158000005,"Garfield Township, Precinct 5",20,,,0,18,0,2
553158000006,"Garfield Township, Precinct 6",7,,,0,5,0,2
553158000007,"Garfield Township, Precinct 7",0,,,0,0,0,0
553424000001,"Grant Township, Precinct 1",13,,,0,8,5,0
553496000001,"Green Lake Township, Precinct 1",12,,,0,10,1,1
553496000002,"Green Lake Township, Precinct 2",20,,,0,12,1,7
553496000003,"Green Lake Township, Precinct 3",18,,,0,13,0,5
554924000001,"Long Lake Township, Precinct 1",31,,,0,22,1,8
554924000002,"Long Lake Township, Precinct 2",13,,,0,12,0,1
555248000001,"Mayfield Township, Precinct 1",15,,,0,10,4,1
556232000001,"Paradise Township, Precinct 1",47,,,0,37,8,2
556232000002,"Paradise Township, Precinct 2",22,,,0,19,3,0
556334000001,"Peninsula Township, Precinct 1",7,,,0,7,0,0
556334000002,"Peninsula Township, Precinct 2",10,,,0,8,0,2
558132000001,"Union Township, Precinct 1",1,,,0,1,0,0
558704000001,"Whitewater Township, Precinct 1",11,,,0,10,1,0
558034000001,"Traverse City, Precinct 1",10,,,0,5,2,3
558034000003,"Traverse City, Precinct 3",9,,,0,9,0,0
558034000007,"Traverse City, Precinct 7",10,,,0,8,1,1
558034000008,"Traverse City, Precinct 8",6,,,0,3,1,2
558034000009,"Traverse City, Precinct 9",15,,,0,11,3,1
558034000010,"Traverse City, Precinct 10",9,,,0,8,1,0
