id,name,total,over_votes,under_votes,Write-in,Callie Barr,Kyle Blomquist,Wayne Stiles
550020000001,"Acme Township, Precinct 1",352,,,0,231,107,14
550020000002,"Acme Township, Precinct 2",211,,,0,137,59,15
550888000001,"Blair Township, Precinct 1",190,,,0,100,68,22
550888000002,"Blair Township, Precinct 2",208,,,0,138,62,8
550888000003,"Blair Township, Precinct 3",156,,,0,101,51,4
552380000001,"East Bay Township, Precinct 1",299,,,0,159,116,24
552380000004,"East Bay Township, Precinct 4",315,,,0,197,109,9
552380000005,"East Bay Township, Precinct 5",226,,,0,144,75,7
552380000006,"East Bay Township, Precinct 6",576,,,0,398,156,22
552802000001,"Fife Lake Township, Precinct 1",85,,,0,57,25,3
553158000001,"Garfield Township, Precinct 1",282,,,0,177,90,15
553158000002,"Garfield Township, Precinct 2",434,,,1,272,131,30
553158000003,"Garfield Township, Precinct 3",193,,,0,128,59,6
553158000004,"Garfield Township, Precinct 4",292,,,1,158,121,12
553158000005,"Garfield Township, Precinct 5",541,,,0,358,149,34
553158000006,"Garfield Township, Precinct 6",296,,,0,219,64,13
553158000007,"Garfield Township, Precinct 7",147,,,0,87,53,7
553424000001,"Grant Township, Precinct 1",0,,,0,0,0,0
553496000001,"Green Lake Township, Precinct 1",259,,,0,159,91,9
553496000002,"Green Lake Township, Precinct 2",196,,,0,115,71,10
553496000003,"Green Lake Township, Precinct 3",186,,,0,107,58,21
554924000001,"Long Lake Township, Precinct 1",620,,,0,412,186,22
554924000002,"Long Lake Township, Precinct 2",565,,,0,359,182,24
555248000001,"Mayfield Township, Precinct 1",0,,,0,0,0,0
556232000001,"Paradise Township, Precinct 1",0,,,0,0,0,0
556232000002,"Paradise Township, Precinct 2",0,,,0,0,0,0
556334000001,"Peninsula Township, Precinct 1",593,,,0,424,134,35
556334000002,"Peninsula Township, Precinct 2",634,,,0,480,132,22
558132000001,"Union Township, Precinct 1",0,,,0,0,0,0
558704000001,"Whitewater Township, Precinct 1",305,,,0,211,75,19
558034000001,"Traverse City, Precinct 1",451,,,0,287,155,9
558034000003,"Traverse City, Precinct 3",457,,,1,282,165,9
558034000007,"Traverse City, Precinct 7",331,,,0,183,130,18
558034000008,"Traverse City, Precinct 8",410,,,0,268,131,11
558034000009,"Traverse City, Precinct 9",392,,,1,238,145,8
558034000010,"Traverse City, Precinct 10",443,,,0,249,172,22
