id,name,total,over_votes,under_votes,Write-in,Lisa McClain
1250040000001,"Addison Township, Precinct 1",245,,,1,244
1250040000002,"Addison Township, Precinct 2",255,,,0,255
1250040000003,"Addison Township, Precinct 3",117,,,0,117
1251004000001,"Brandon Township, Precinct 1",156,,,0,156
1251004000002,"Brandon Township, Precinct 2",221,,,1,220
1251004000003,"Brandon Township, Precinct 3",197,,,0,197
1251004000004,"Brandon Township, Precinct 4",212,,,0,212
1251004000005,"Brandon Township, Precinct 5",21,,,0,21
1251004000006,"Brandon Township, Precinct 6",60,,,0,60
1253564000001,"Groveland Township, Precinct 1",119,,,2,117
1253564000002,"Groveland Township, Precinct 2",95,,,0,95
1253564000003,"Groveland Township, Precinct 3",181,,,0,181
1333810000001,"Highland Township, Precinct 1",373,,,0,373
1253808000002,"Highland Township, Precinct 2",404,,,0,404
1253808000003,"Highland Township, Precinct 3",402,,,1,401
1253808000004,"Highland Township, Precinct 4",311,,,0,311
1253808000005,"Highland Township, Precinct 5",167,,,2,165
1253872000001,"Holly Township, Precinct 1",91,,,1,90
1253872000002,"Holly Township, Precinct 2",74,,,0,74
1253872000003,"Holly Township, Precinct 3",115,,,0,115
1253872000004,"Holly Township, Precinct 4",176,,,0,176
1254040000001,"Independence Township, Precinct 1",250,,,1,249
1254040000002,"Independence Township, Precinct 2",358,,,2,356
1254040000003,"Independence Township, Precinct 3",482,,,2,480
1254040000004,"Independence Township, Precinct 4",415,,,0,415
1254040000005,"Independence Township, Precinct 5",308,,,2,306
1254040000006,"Independence Township, Precinct 6",322,,,3,319
1254040000007,"Independence Township, Precinct 7",351,,,0,351
1254040000008,"Independence Township, Precinct 8",210,,,0,210
1255398000001,"Milford Township, Precinct 1",252,,,0,252
1255398000005,"Milford Township, Precinct 5",180,,,1,179
1255398000007,"Milford Township, Precinct 7",108,,,0,108
1255982000001,"Oakland Township, Precinct 1",140,,,0,140
1255982000002,"Oakland Township, Precinct 2",291,,,0,291
1255982000003,"Oakland Township, Precinct 3",301,,,0,301
1255982000004,"Oakland Township, Precinct 4",150,,,0,150
1255982000005,"Oakland Township, Precinct 5",181,,,0,181
1255982000006,"Oakland Township, Precinct 6",339,,,1,338
1256110000001,"Orion Township, Precinct 1",241,,,2,239
1256110000002,"Orion Township, Precinct 2",234,,,1,233
1256110000003,"Orion Township, Precinct 3",215,,,2,213
1256110000004,"Orion Township, Precinct 4",228,,,1,227
1256110000005,"Orion Township, Precinct 5",180,,,2,178
1256110000006,"Orion Township, Precinct 6",218,,,2,216
1256110000007,"Orion Township, Precinct 7",287,,,3,284
1256110000008,"Orion Township, Precinct 8",260,,,0,260
1256110000009,"Orion Township, Precinct 9",195,,,2,193
1256110000010,"Orion Township, Precinct 10",181,,,0,181
1256110000011,"Orion Township, Precinct 11",221,,,1,220
1256204000001,"Oxford Township, Precinct 1",208,,,0,208
1256204000002,"Oxford Township, Precinct 2",360,,,1,359
1256204000003,"Oxford Township, Precinct 3",422,,,1,421
1256204000004,"Oxford Township, Precinct 4",310,,,1,309
1256204000005,"Oxford Township, Precinct 5",269,,,0,269
1296960000001,"Rose Township, Precinct 1",115,,,0,115
1256958000002,"Rose Township, Precinct 2",194,,,1,193
1256958000003,"Rose Township, Precinct 3",176,,,0,176
1257576000001,"Springfield Township, Precinct 1",197,,,1,196
1257576000002,"Springfield Township, Precinct 2",107,,,1,106
1257576000003,"Springfield Township, Precinct 3",199,,,0,199
1257576000004,"Springfield Township, Precinct 4",231,,,1,230
1257576000005,"Springfield Township, Precinct 5",137,,,0,137
1258686000001,"White Lake Township, Precinct 1",26,,,0,26
1258245000001,"Clarkston, Precinct 1",1,,,0,1
0492776000002,"Fenton, Precinct 2",0,,,0,0
