id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
1250040000001,"Addison Township, Precinct 1",191,,,0,79,15,97
1250040000002,"Addison Township, Precinct 2",229,,,1,83,16,129
1250040000003,"Addison Township, Precinct 3",124,,,0,37,9,78
1250911000001,"Bloomfield Township, Precinct 1",234,,,0,84,8,142
1250911000002,"Bloomfield Township, Precinct 2",421,,,0,186,13,222
1250911000003,"Bloomfield Township, Precinct 3",718,,,1,262,26,429
1250911000004,"Bloomfield Township, Precinct 4",284,,,0,80,8,196
1250911000005,"Bloomfield Township, Precinct 5",843,,,0,312,18,513
1250911000006,"Bloomfield Township, Precinct 6",359,,,0,156,20,183
1250911000007,"Bloomfield Township, Precinct 7",904,,,0,224,22,658
1250911000008,"Bloomfield Township, Precinct 8",709,,,0,211,21,477
1250911000009,"Bloomfield Township, Precinct 9",949,,,0,263,42,644
1250911000010,"Bloomfield Township, Precinct 10",475,,,0,118,24,333
1250911000011,"Bloomfield Township, Precinct 11",817,,,1,200,23,593
1250911000012,"Bloomfield Township, Precinct 12",300,,,0,114,15,171
1251004000001,"Brandon Township, Precinct 1",231,,,1,72,18,140
1251004000002,"Brandon Township, Precinct 2",223,,,0,68,17,138
1251004000003,"Brandon Township, Precinct 3",249,,,0,107,21,121
1251004000004,"Brandon Township, Precinct 4",298,,,1,126,19,152
1251004000005,"Brandon Township, Precinct 5",71,,,0,24,4,43
1251004000006,"Brandon Township, Precinct 6",83,,,0,47,1,35
1251764000001,"Commerce Township, Precinct 1",224,,,0,80,7,137
1251764000002,"Commerce Township, Precinct 2",279,,,1,96,6,176
1251764000003,"Commerce Township, Precinct 3",559,,,0,90,23,446
1251764000004,"Commerce Township, Precinct 4",293,,,0,125,9,159
1251764000005,"Commerce Township, Precinct 5",331,,,0,103,12,216
1251764000006,"Commerce Township, Precinct 6",216,,,0,68,2,146
1251764000007,"Commerce Township, Precinct 7",342,,,0,97,13,232
1251764000008,"Commerce Township, Precinct 8",315,,,0,83,15,217
1251764000009,"Commerce Township, Precinct 9",295,,,0,97,12,186
1251764000010,"Commerce Township, Precinct 10",292,,,2,84,12,194
1251764000011,"Commerce Township, Precinct 11",313,,,0,96,14,203
1251764000012,"Commerce Township, Precinct 12",145,,,0,56,9,80
1251764000013,"Commerce Township, Precinct 13",362,,,0,110,8,244
1251764000014,"Commerce Township, Precinct 14",108,,,0,44,2,62
1251764000015,"Commerce Township, Precinct 15",237,,,0,78,10,149
1253564000001,"Groveland Township, Precinct 1",88,,,0,42,5,41
1253564000002,"Groveland Township, Precinct 2",117,,,0,44,4,69
1253564000003,"Groveland Township, Precinct 3",157,,,0,67,10,80
1253808000001,"Highland Township, Precinct 1",400,,,0,150,13,237
1253808000002,"Highland Township, Precinct 2",451,,,0,161,13,277
1253808000003,"Highland Township, Precinct 3",381,,,0,122,5,254
1253808000004,"Highland Township, Precinct 4",356,,,0,108,13,235
1253808000005,"Highland Township, Precinct 5",184,,,0,47,7,130
1253872000001,"Holly Township, Precinct 1",155,,,0,53,6,96
1253872000002,"Holly Township, Precinct 2",152,,,0,63,6,83
1253872000003,"Holly Township, Precinct 3",196,,,0,71,13,112
1253872000004,"Holly Township, Precinct 4",248,,,0,84,8,156
1254040000001,"Independence Township, Precinct 1",318,,,0,117,20,181
1254040000002,"Independence Township, Precinct 2",395,,,0,138,19,238
1254040000003,"Independence Township, Precinct 3",547,,,0,142,31,374
1254040000004,"Independence Township, Precinct 4",454,,,0,162,28,264
1254040000005,"Independence Township, Precinct 5",512,,,1,158,38,315
1254040000006,"Independence Township, Precinct 6",458,,,1,158,38,261
1254040000007,"Independence Township, Precinct 7",361,,,0,123,24,214
1254040000008,"Independence Township, Precinct 8",336,,,1,138,14,183
1254982000001,"Lyon Township, Precinct 1",134,,,0,48,1,85
1254982000002,"Lyon Township, Precinct 2",98,,,0,42,6,50
1254982000003,"Lyon Township, Precinct 3",194,,,0,103,6,85
1254982000004,"Lyon Township, Precinct 4",216,,,0,75,7,134
1254982000005,"Lyon Township, Precinct 5",213,,,0,64,8,141
1254982000006,"Lyon Township, Precinct 6",274,,,0,95,6,173
1254982000007,"Lyon Township, Precinct 7",67,,,0,28,5,34
1254982000008,"Lyon Township, Precinct 8",219,,,0,65,10,144
1254982000009,"Lyon Township, Precinct 9",310,,,0,128,13,169
1254982000010,"Lyon Township, Precinct 10",145,,,0,46,2,97
1254982000011,"Lyon Township, Precinct 11",292,,,0,102,12,178
1255398000001,"Milford Township, Precinct 1",329,,,0,97,14,218
1255398000002,"Milford Township, Precinct 2",216,,,0,66,7,143
1255398000003,"Milford Township, Precinct 3",251,,,1,63,17,170
1255398000004,"Milford Township, Precinct 4",428,,,0,156,11,261
