id,name,total,over_votes,under_votes,Write-in,James D. Hooper
1257492000001,"Southfield Township, Precinct 1",94,,,1,93
1257492000002,"Southfield Township, Precinct 2",136,,,0,136
1257492000003,"Southfield Township, Precinct 3",58,,,0,58
1257492000004,"Southfield Township, Precinct 4",52,,,0,52
1257492000005,"Southfield Township, Precinct 5",85,,,0,85
1257492000006,"Southfield Township, Precinct 6",57,,,0,57
1257492000007,"Southfield Township, Precinct 7",113,,,1,112
1254632000001,"Lathrup Village, Precinct 1",88,,,0,88
1257490000001,"Southfield, Precinct 1",15,,,0,15
1257490000002,"Southfield, Precinct 2",25,,,0,25
1257490000003,"Southfield, Precinct 3",20,,,0,20
1257490000004,"Southfield, Precinct 4",16,,,0,16
1257490000005,"Southfield, Precinct 5",33,,,0,33
1257490000006,"Southfield, Precinct 6",10,,,1,9
1257490000007,"Southfield, Precinct 7",4,,,0,4
1257490000008,"Southfield, Precinct 8",9,,,0,9
1257490000009,"Southfield, Precinct 9",15,,,0,15
1257490000010,"Southfield, Precinct 10",10,,,0,10
1257490000011,"Southfield, Precinct 11",9,,,0,9
1257490000012,"Southfield, Precinct 12",13,,,1,12
1257490000013,"Southfield, Precinct 13",9,,,0,9
1257490000014,"Southfield, Precinct 14",8,,,0,8
1257490000015,"Southfield, Precinct 15",4,,,0,4
1257490000016,"Southfield, Precinct 16",9,,,0,9
1257490000017,"Southfield, Precinct 17",3,,,0,3
1257490000018,"Southfield, Precinct 18",5,,,0,5
1257490000019,"Southfield, Precinct 19",20,,,1,19
1257490000020,"Southfield, Precinct 20",4,,,0,4
1257490000021,"Southfield, Precinct 21",5,,,0,5
1257490000022,"Southfield, Precinct 22",5,,,0,5
1257490000023,"Southfield, Precinct 23",15,,,0,15
1257490000024,"Southfield, Precinct 24",13,,,0,13
1257490000025,"Southfield, Precinct 25",8,,,0,8
1257490000026,"Southfield, Precinct 26",9,,,0,9
1257490000027,"Southfield, Precinct 27",2,,,0,2
1257490000028,"Southfield, Precinct 28",6,,,0,6
1257490000029,"Southfield, Precinct 29",16,,,1,15
1257490000030,"Southfield, Precinct 30",15,,,0,15
1257490000031,"Southfield, Precinct 31",3,,,0,3
1257490000032,"Southfield, Precinct 32",15,,,0,15
1257490000033,"Southfield, Precinct 33",7,,,0,7
1257490000034,"Southfield, Precinct 34",28,,,0,28
1257490000035,"Southfield, Precinct 35",8,,,0,8
1257490000036,"Southfield, Precinct 36",27,,,0,27
