id,name,total,over_votes,under_votes,Write-in,Ray Pooley
1250040000001,"Addison Township, Precinct 1",4,,,0,4
1250040000002,"Addison Township, Precinct 2",5,,,0,5
1250040000003,"Addison Township, Precinct 3",2,,,0,2
1251004000001,"Brandon Township, Precinct 1",20,,,0,20
1251004000002,"Brandon Township, Precinct 2",21,,,0,21
1251004000003,"Brandon Township, Precinct 3",22,,,0,22
1251004000004,"Brandon Township, Precinct 4",26,,,0,26
1251004000005,"Brandon Township, Precinct 5",9,,,0,9
1251004000006,"Brandon Township, Precinct 6",15,,,0,15
1253564000001,"Groveland Township, Precinct 1",12,,,0,12
1253564000002,"Groveland Township, Precinct 2",27,,,0,27
1253564000003,"Groveland Township, Precinct 3",16,,,0,16
1333810000001,"Highland Township, Precinct 1",42,,,0,42
1253808000002,"Highland Township, Precinct 2",44,,,0,44
1253808000003,"Highland Township, Precinct 3",32,,,0,32
1253808000004,"Highland Township, Precinct 4",32,,,0,32
1253808000005,"Highland Township, Precinct 5",17,,,0,17
1253872000001,"Holly Township, Precinct 1",6,,,0,6
1253872000002,"Holly Township, Precinct 2",8,,,0,8
1253872000003,"Holly Township, Precinct 3",13,,,0,13
1253872000004,"Holly Township, Precinct 4",6,,,0,6
1254040000001,"Independence Township, Precinct 1",27,,,0,27
1254040000002,"Independence Township, Precinct 2",33,,,0,33
1254040000003,"Independence Township, Precinct 3",25,,,0,25
1254040000004,"Independence Township, Precinct 4",51,,,0,51
1254040000005,"Independence Township, Precinct 5",54,,,0,54
1254040000006,"Independence Township, Precinct 6",39,,,0,39
1254040000007,"Independence Township, Precinct 7",52,,,0,52
1254040000008,"Independence Township, Precinct 8",38,,,0,38
1255398000001,"Milford Township, Precinct 1",9,,,0,9
1255398000005,"Milford Township, Precinct 5",16,,,0,16
1255398000007,"Milford Township, Precinct 7",2,,,0,2
1255982000001,"Oakland Township, Precinct 1",25,,,1,24
1255982000002,"Oakland Township, Precinct 2",49,,,0,49
1255982000003,"Oakland Township, Precinct 3",37,,,1,36
1255982000004,"Oakland Township, Precinct 4",11,,,0,11
1255982000005,"Oakland Township, Precinct 5",38,,,0,38
1255982000006,"Oakland Township, Precinct 6",30,,,0,30
1256110000001,"Orion Township, Precinct 1",39,,,0,39
1256110000002,"Orion Township, Precinct 2",11,,,0,11
1256110000003,"Orion Township, Precinct 3",20,,,0,20
1256110000004,"Orion Township, Precinct 4",20,,,0,20
1256110000005,"Orion Township, Precinct 5",37,,,0,37
1256110000006,"Orion Township, Precinct 6",24,,,0,24
1256110000007,"Orion Township, Precinct 7",71,,,0,71
1256110000008,"Orion Township, Precinct 8",43,,,0,43
1256110000009,"Orion Township, Precinct 9",34,,,0,34
1256110000010,"Orion Township, Precinct 10",36,,,0,36
1256110000011,"Orion Township, Precinct 11",49,,,0,49
1256204000001,"Oxford Township, Precinct 1",23,,,0,23
1256204000002,"Oxford Township, Precinct 2",20,,,0,20
1256204000003,"Oxford Township, Precinct 3",41,,,1,40
1256204000004,"Oxford Township, Precinct 4",39,,,0,39
1256204000005,"Oxford Township, Precinct 5",23,,,1,22
1296960000001,"Rose Township, Precinct 1",8,,,0,8
1256958000002,"Rose Township, Precinct 2",22,,,0,22
1256958000003,"Rose Township, Precinct 3",14,,,0,14
1257576000001,"Springfield Township, Precinct 1",27,,,0,27
1257576000002,"Springfield Township, Precinct 2",14,,,0,14
1257576000003,"Springfield Township, Precinct 3",20,,,0,20
1257576000004,"Springfield Township, Precinct 4",36,,,0,36
1257576000005,"Springfield Township, Precinct 5",11,,,0,11
1258686000001,"White Lake Township, Precinct 1",8,,,0,8
1258245000001,"Clarkston, Precinct 1",7,,,0,7
0492776000002,"Fenton, Precinct 2",0,,,0,0
