id,name,total,over_votes,under_votes,Write-in,Ethan Baker
1250911000001,"Bloomfield Township, Precinct 1",176,,,0,176
1250911000002,"Bloomfield Township, Precinct 2",184,,,1,183
1250911000003,"Bloomfield Township, Precinct 3",517,,,3,514
1250911000004,"Bloomfield Township, Precinct 4",199,,,0,199
1250911000005,"Bloomfield Township, Precinct 5",490,,,0,490
1250911000006,"Bloomfield Township, Precinct 6",301,,,0,301
1250911000007,"Bloomfield Township, Precinct 7",417,,,0,417
1250911000008,"Bloomfield Township, Precinct 8",294,,,0,294
1250911000009,"Bloomfield Township, Precinct 9",343,,,0,343
1250911000010,"Bloomfield Township, Precinct 10",302,,,0,302
1250911000011,"Bloomfield Township, Precinct 11",683,,,2,681
1250911000012,"Bloomfield Township, Precinct 12",233,,,1,232
1251764000001,"Commerce Township, Precinct 1",356,,,0,356
1251764000002,"Commerce Township, Precinct 2",269,,,2,267
1251764000003,"Commerce Township, Precinct 3",272,,,0,272
1251764000004,"Commerce Township, Precinct 4",306,,,0,306
1251764000005,"Commerce Township, Precinct 5",388,,,0,388
1251764000006,"Commerce Township, Precinct 6",216,,,0,216
1251764000007,"Commerce Township, Precinct 7",441,,,0,441
1251764000008,"Commerce Township, Precinct 8",383,,,0,383
1251764000009,"Commerce Township, Precinct 9",382,,,1,381
1251764000010,"Commerce Township, Precinct 10",318,,,1,317
1251764000011,"Commerce Township, Precinct 11",314,,,1,313
1251764000012,"Commerce Township, Precinct 12",179,,,0,179
1251764000013,"Commerce Township, Precinct 13",317,,,1,316
1251764000014,"Commerce Township, Precinct 14",157,,,0,157
1251764000015,"Commerce Township, Precinct 15",272,,,2,270
1254040000007,"Independence Township, Precinct 7",0,,,0,0
1257006000001,"Royal Oak Township, Precinct 1",3,,,1,2
1257006000002,"Royal Oak Township, Precinct 2",4,,,0,4
1258424000001,"Waterford Township, Precinct 1",158,,,0,158
1258424000002,"Waterford Township, Precinct 2",445,,,3,442
1258424000003,"Waterford Township, Precinct 3",376,,,0,376
1258424000004,"Waterford Township, Precinct 4",435,,,0,435
1258424000005,"Waterford Township, Precinct 5",500,,,0,500
1258424000006,"Waterford Township, Precinct 6",412,,,0,412
1258424000007,"Waterford Township, Precinct 7",355,,,0,355
1258424000008,"Waterford Township, Precinct 8",383,,,0,383
1258424000009,"Waterford Township, Precinct 9",399,,,0,399
1258424000010,"Waterford Township, Precinct 10",288,,,0,288
1258424000011,"Waterford Township, Precinct 11",318,,,1,317
1258424000012,"Waterford Township, Precinct 12",401,,,1,400
1258424000013,"Waterford Township, Precinct 13",340,,,1,339
1258424000014,"Waterford Township, Precinct 14",225,,,2,223
1258424000015,"Waterford Township, Precinct 15",254,,,0,254
1258424000016,"Waterford Township, Precinct 16",356,,,1,355
1258424000017,"Waterford Township, Precinct 17",338,,,4,334
1258424000018,"Waterford Township, Precinct 18",367,,,0,367
1258424000019,"Waterford Township, Precinct 19",322,,,0,322
1258424000020,"Waterford Township, Precinct 20",314,,,1,313
1258424000021,"Waterford Township, Precinct 21",299,,,2,297
1258548000001,"West Bloomfield Township, Precinct 1",154,,,0,154
1258548000002,"West Bloomfield Township, Precinct 2",175,,,0,175
1258548000003,"West Bloomfield Township, Precinct 3",143,,,0,143
1258548000004,"West Bloomfield Township, Precinct 4",84,,,0,84
1258548000005,"West Bloomfield Township, Precinct 5",126,,,0,126
1258548000006,"West Bloomfield Township, Precinct 6",328,,,0,328
1258548000007,"West Bloomfield Township, Precinct 7",311,,,0,311
1258548000008,"West Bloomfield Township, Precinct 8",205,,,0,205
1258548000009,"West Bloomfield Township, Precinct 9",115,,,0,115
1258548000010,"West Bloomfield Township, Precinct 10",137,,,1,136
1258548000011,"West Bloomfield Township, Precinct 11",134,,,0,134
1258548000012,"West Bloomfield Township, Precinct 12",208,,,0,208
1258548000013,"West Bloomfield Township, Precinct 13",70,,,0,70
1258548000014,"West Bloomfield Township, Precinct 14",331,,,0,331
1258548000015,"West Bloomfield Township, Precinct 15",234,,,0,234
1258548000016,"West Bloomfield Township, Precinct 16",180,,,2,178
1258548000017,"West Bloomfield Township, Precinct 17",139,,,1,138
1258548000018,"West Bloomfield Township, Precinct 18",113,,,0,113
1258548000019,"West Bloomfield Township, Precinct 19",149,,,2,147
1258548000020,"West Bloomfield Township, Precinct 20",122,,,1,121
1258686000002,"White Lake Township, Precinct 2",369,,,0,369
1258686000003,"White Lake Township, Precinct 3",451,,,2,449
1258686000004,"White Lake Township, Precinct 4",340,,,1,339
1258686000005,"White Lake Township, Precinct 5",540,,,0,540
1258686000006,"White Lake Township, Precinct 6",557,,,3,554
1258686000007,"White Lake Township, Precinct 7",525,,,2,523
1258686000008,"White Lake Township, Precinct 8",461,,,2,459
1258686000009,"White Lake Township, Precinct 9",536,,,3,533
1250410500001,"Auburn Hills, Precinct 1",143,,,1,142
1250410500002,"Auburn Hills, Precinct 2",425,,,2,423
1250410500003,"Auburn Hills, Precinct 3",151,,,0,151
1250410500004,"Auburn Hills, Precinct 4",146,,,1,145
1250410500005,"Auburn Hills, Precinct 5",152,,,0,152
1250410500006,"Auburn Hills, Precinct 6",211,,,0,211
1250410500007,"Auburn Hills, Precinct 7",115,,,0,115
1250766000001,"Berkley, Precinct 1",309,,,1,308
1250766000002,"Berkley, Precinct 2",265,,,1,264
1250766000003,"Berkley, Precinct 3",219,,,1,218
1250766000004,"Berkley, Precinct 4",169,,,0,169
1250864000001,"Birmingham, Precinct 1",355,,,2,353
1250864000002,"Birmingham, Precinct 2",311,,,1,310
1250864000003,"Birmingham, Precinct 3",209,,,0,209
1250864000004,"Birmingham, Precinct 4",378,,,0,378
1250864000005,"Birmingham, Precinct 5",222,,,0,222
1250918000001,"Bloomfield Hills, Precinct 1",290,,,0,290
1250918000002,"Bloomfield Hills, Precinct 2",185,,,1,184
1251616000001,"Clawson, Precinct 1",197,,,1,196
1251616000002,"Clawson, Precinct 2",144,,,0,144
1251616000003,"Clawson, Precinct 3",253,,,0,253
1251616000004,"Clawson, Precinct 4",176,,,0,176
1252738000001,"Farmington, Precinct 1",156,,,1,155
1252738000002,"Farmington, Precinct 2",291,,,2,289
1252738000003,"Farmington, Precinct 3",269,,,0,269
