id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1250040000001,"Addison Township, Precinct 1",270,,,0,43,118,107,2
1250040000002,"Addison Township, Precinct 2",270,,,0,30,165,75,0
1250040000003,"Addison Township, Precinct 3",121,,,0,10,58,51,2
1130908000001,"Bloomfield Township, Precinct 1",128,,,0,15,84,29,0
1250911000002,"Bloomfield Township, Precinct 2",129,,,0,22,62,45,0
1250911000003,"Bloomfield Township, Precinct 3",372,,,0,51,222,97,2
1250911000004,"Bloomfield Township, Precinct 4",156,,,0,42,73,40,1
1250911000005,"Bloomfield Township, Precinct 5",360,,,0,62,186,109,3
1250911000006,"Bloomfield Township, Precinct 6",212,,,0,37,109,64,2
1250911000007,"Bloomfield Township, Precinct 7",319,,,0,58,173,87,1
1250911000008,"Bloomfield Township, Precinct 8",191,,,1,27,92,70,1
1250911000009,"Bloomfield Township, Precinct 9",255,,,0,36,154,63,2
1250911000010,"Bloomfield Township, Precinct 10",214,,,0,42,113,55,4
1250911000011,"Bloomfield Township, Precinct 11",485,,,3,52,317,110,3
1250911000012,"Bloomfield Township, Precinct 12",142,,,0,11,78,49,4
1251004000001,"Brandon Township, Precinct 1",132,,,1,18,52,60,1
1251004000002,"Brandon Township, Precinct 2",214,,,0,33,96,84,1
1251004000003,"Brandon Township, Precinct 3",169,,,0,22,68,79,0
1251004000004,"Brandon Township, Precinct 4",201,,,0,46,68,84,3
1251004000005,"Brandon Township, Precinct 5",22,,,0,8,7,7,0
1251004000006,"Brandon Township, Precinct 6",45,,,0,5,26,14,0
1251764000001,"Commerce Township, Precinct 1",195,,,0,28,96,69,2
1251764000002,"Commerce Township, Precinct 2",180,,,0,37,72,70,1
1251764000003,"Commerce Township, Precinct 3",179,,,0,50,67,60,2
1251764000004,"Commerce Township, Precinct 4",162,,,0,18,66,75,3
1251764000005,"Commerce Township, Precinct 5",206,,,0,42,87,76,1
1251764000006,"Commerce Township, Precinct 6",110,,,0,16,58,33,3
1251764000007,"Commerce Township, Precinct 7",266,,,1,43,139,81,2
1251764000008,"Commerce Township, Precinct 8",245,,,0,57,113,75,0
1251764000009,"Commerce Township, Precinct 9",196,,,0,30,99,66,1
1251764000010,"Commerce Township, Precinct 10",154,,,0,26,72,56,0
1251764000011,"Commerce Township, Precinct 11",180,,,0,29,86,64,1
1251764000012,"Commerce Township, Precinct 12",84,,,0,15,43,26,0
1251764000013,"Commerce Township, Precinct 13",180,,,0,27,86,65,2
1251764000014,"Commerce Township, Precinct 14",42,,,0,8,24,10,0
1251764000015,"Commerce Township, Precinct 15",141,,,1,30,68,40,2
1253564000001,"Groveland Township, Precinct 1",89,,,1,14,37,36,1
1253564000002,"Groveland Township, Precinct 2",89,,,0,15,38,36,0
1253564000003,"Groveland Township, Precinct 3",167,,,2,34,63,68,0
1333810000001,"Highland Township, Precinct 1",344,,,2,52,159,131,0
1253808000002,"Highland Township, Precinct 2",372,,,0,44,174,152,2
1253808000003,"Highland Township, Precinct 3",370,,,0,53,167,147,3
1253808000004,"Highland Township, Precinct 4",284,,,0,57,114,109,4
1253808000005,"Highland Township, Precinct 5",152,,,1,21,82,45,3
1253872000001,"Holly Township, Precinct 1",102,,,0,23,31,44,4
1253872000002,"Holly Township, Precinct 2",81,,,0,21,32,26,2
1253872000003,"Holly Township, Precinct 3",119,,,0,25,48,43,3
