id,name,total,over_votes,under_votes,Write-in,Tom Barrett
450708000001,"Bellevue Township, Precinct 1",126,,,0,126
450744000001,"Benton Charter Township, Precinct 1",165,,,0,165
451092000001,"Brookfield Township, Precinct 1",67,,,0,67
451338000001,"Carmel Township, Precinct 1",169,,,0,169
451526000001,"Chester Township, Precinct 1",104,,,0,104
452152000001,"Delta Charter Township, Precinct 1",128,,,0,128
452152000002,"Delta Charter Township, Precinct 2",191,,,0,191
452152000004,"Delta Charter Township, Precinct 4",80,,,0,80
452152000005,"Delta Charter Township, Precinct 5",261,,,0,261
452152000006,"Delta Charter Township, Precinct 6",127,,,0,127
452152000007,"Delta Charter Township, Precinct 7",105,,,0,105
452152000008,"Delta Charter Township, Precinct 8",66,,,0,66
452152000014,"Delta Charter Township, Precinct 14",140,,,0,140
452152000015,"Delta Charter Township, Precinct 15",262,,,0,262
452152000016,"Delta Charter Township, Precinct 16",231,,,0,231
452452000001,"Eaton Township, Precinct 1",258,,,0,258
452456000001,"Eaton Rapids Township, Precinct 1",221,,,0,221
453620000001,"Hamlin Township, Precinct 1",126,,,0,126
454222000002,"Kalamo Township, Precinct 2",46,,,0,46
456070000001,"Oneida Charter Township, Precinct 1",297,,,0,297
457002000001,"Roxand Township, Precinct 1",76,,,0,76
458318000001,"Walton Township, Precinct 1",78,,,0,78
458784000001,"Windsor Charter Township, Precinct 1",211,,,0,211
458784000002,"Windsor Charter Township, Precinct 2",239,,,0,239
451482001001,"City of Charlotte, District 1, Precinct 1",164,,,0,164
451482002001,"City of Charlotte, District 2, Precinct 1",200,,,0,200
452454000001,"City of Eaton Rapids, Precinct 1",38,,,0,38
452454000002,"City of Eaton Rapids, Precinct 2",39,,,0,39
452454000003,"City of Eaton Rapids, Precinct 3",51,,,0,51
453342000001,"City of Grand Ledge, Precinct 1",73,,,0,73
453342000002,"City of Grand Ledge, Precinct 2",92,,,0,92
453342000003,"City of Grand Ledge, Precinct 3",78,,,0,78
453342000004,"City of Grand Ledge, Precinct 4",93,,,0,93
456058000001,"City of Olivet, Precinct 1",0,,,0,0
456610000001,"City of Potterville, Precinct 1",74,,,0,74
454600003022,"City of Lansing, Ward 3, Precinct 22",30,,,0,30
