id,name,total,over_votes,under_votes,Write-in,Lisa McClain
995296000001,"Memphis, Precinct 1",0,,,0,0
995710000001,"New Baltimore, Precinct 1",89,,,0,89
995710000002,"New Baltimore, Precinct 2",87,,,0,87
995710000003,"New Baltimore, Precinct 3",167,,,1,166
995710000004,"New Baltimore, Precinct 4",151,,,1,150
995710000005,"New Baltimore, Precinct 5",137,,,1,136
996838000001,"Richmond, Precinct 1",179,,,0,179
996838000002,"Richmond, Precinct 2",141,,,0,141
990354000001,"Armada Township, Precinct 1",227,,,2,225
990354000002,"Armada Township, Precinct 2",120,,,1,119
991130000001,"Bruce Township, Precinct 1",93,,,0,93
991130000002,"Bruce Township, Precinct 2",192,,,1,191
991130000003,"Bruce Township, Precinct 3",186,,,1,185
991130000004,"Bruce Township, Precinct 4",155,,,0,155
991534000001,"Chesterfield Township, Precinct 1",307,,,1,306
991534000002,"Chesterfield Township, Precinct 2",214,,,0,214
991534000003,"Chesterfield Township, Precinct 3",503,,,1,502
991534000004,"Chesterfield Township, Precinct 4",364,,,3,361
991534000005,"Chesterfield Township, Precinct 5",227,,,0,227
991534000006,"Chesterfield Township, Precinct 6",229,,,0,229
991534000007,"Chesterfield Township, Precinct 7",126,,,0,126
991534000008,"Chesterfield Township, Precinct 8",164,,,0,164
991534000009,"Chesterfield Township, Precinct 9",266,,,0,266
991534000010,"Chesterfield Township, Precinct 10",316,,,3,313
994690000001,"Lenox Township, Precinct 1",121,,,1,120
994690000002,"Lenox Township, Precinct 2",145,,,0,145
994690000003,"Lenox Township, Precinct 3",83,,,1,82
994690000004,"Lenox Township, Precinct 4",24,,,1,23
995048000003,"Macomb Township, Precinct 3",143,,,0,143
995048000004,"Macomb Township, Precinct 4",140,,,0,140
995048000005,"Macomb Township, Precinct 5",348,,,0,348
995048000006,"Macomb Township, Precinct 6",70,,,3,67
995048000009,"Macomb Township, Precinct 9",270,,,0,270
995048000010,"Macomb Township, Precinct 10",134,,,0,134
995048000012,"Macomb Township, Precinct 12",28,,,0,28
995048000013,"Macomb Township, Precinct 13",333,,,1,332
995048000014,"Macomb Township, Precinct 14",280,,,2,278
995048000015,"Macomb Township, Precinct 15",219,,,1,218
995048000016,"Macomb Township, Precinct 16",317,,,0,317
995048000017,"Macomb Township, Precinct 17",102,,,1,101
995048000018,"Macomb Township, Precinct 18",313,,,0,313
995048000019,"Macomb Township, Precinct 19",420,,,3,417
995048000020,"Macomb Township, Precinct 20",162,,,2,160
995048000021,"Macomb Township, Precinct 21",187,,,1,186
995048000022,"Macomb Township, Precinct 22",201,,,0,201
995048000023,"Macomb Township, Precinct 23",80,,,0,80
995048000024,"Macomb Township, Precinct 24",163,,,0,163
996742000001,"Ray Township, Precinct 1",154,,,0,154
996742000002,"Ray Township, Precinct 2",178,,,0,178
996840000001,"Richmond Township, Precinct 1",0,,,0,0
996840000002,"Richmond Township, Precinct 2",0,,,0,0
998412000001,"Washington Township, Precinct 1",332,,,0,332
998412000002,"Washington Township, Precinct 2",245,,,0,245
998412000003,"Washington Township, Precinct 3",270,,,0,270
998412000004,"Washington Township, Precinct 4",658,,,0,658
998412000005,"Washington Township, Precinct 5",274,,,0,274
998412000006,"Washington Township, Precinct 6",372,,,1,371
998412000007,"Washington Township, Precinct 7",301,,,1,300
