id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
991432000001,"Center Line, Precinct 1",43,,,0,30,3,5,5
991432000002,"Center Line, Precinct 2",30,,,1,20,7,1,1
991432000003,"Center Line, Precinct 3",73,,,1,52,12,5,3
991432000004,"Center Line, Precinct 4",22,,,0,14,8,0,0
992429000001,"Eastpointe, Precinct 1",68,,,1,48,14,2,3
992429000002,"Eastpointe, Precinct 2",66,,,0,52,5,5,4
992429000003,"Eastpointe, Precinct 3",73,,,0,51,20,1,1
992429000004,"Eastpointe, Precinct 4",77,,,0,56,12,7,2
992429000005,"Eastpointe, Precinct 5",71,,,0,59,6,6,0
992429000006,"Eastpointe, Precinct 6",56,,,0,46,8,1,1
992429000007,"Eastpointe, Precinct 7",94,,,0,71,15,4,4
992429000008,"Eastpointe, Precinct 8",66,,,0,58,4,2,2
993042000001,"Fraser, Precinct 1",109,,,0,86,16,4,3
993042000002,"Fraser, Precinct 2",178,,,0,129,36,9,4
993042000003,"Fraser, Precinct 3",95,,,0,74,16,2,3
993042000004,"Fraser, Precinct 4",91,,,0,75,12,3,1
993042000005,"Fraser, Precinct 5",159,,,0,127,21,7,4
998245300002,Grosse Pointe Shores 2,0,,,0,0,0,0,0
995582000001,"Mount Clemens, Precinct 1",19,,,0,10,5,3,1
995582000002,"Mount Clemens, Precinct 2",51,,,0,37,12,1,1
995582000003,"Mount Clemens, Precinct 3",71,,,0,55,10,4,2
995582000004,"Mount Clemens, Precinct 4",37,,,1,19,12,4,1
995582000005,"Mount Clemens, Precinct 5",93,,,0,68,21,2,2
995582000006,"Mount Clemens, Precinct 6",58,,,0,39,15,4,0
996980000001,"Roseville, Precinct 1",74,,,1,51,15,6,1
996980000002,"Roseville, Precinct 2",108,,,0,77,19,8,4
996980000003,"Roseville, Precinct 3",40,,,0,28,11,0,1
996980000004,"Roseville, Precinct 4",112,,,0,77,21,11,3
996980000005,"Roseville, Precinct 5",76,,,0,59,11,3,3
996980000006,"Roseville, Precinct 6",96,,,1,74,11,6,4
996980000007,"Roseville, Precinct 7",80,,,1,47,20,9,3
996980000008,"Roseville, Precinct 8",100,,,1,75,9,9,6
996980000009,"Roseville, Precinct 9",127,,,1,86,32,8,0
996980000010,"Roseville, Precinct 10",58,,,0,47,9,2,0
996980000011,"Roseville, Precinct 11",121,,,0,90,16,11,4
996980000012,"Roseville, Precinct 12",125,,,0,78,31,13,3
997076000001,"St. Clair Shores, Precinct 1",140,,,0,109,22,5,4
997076000002,"St. Clair Shores, Precinct 2",113,,,1,89,10,6,7
997076000003,"St. Clair Shores, Precinct 3",232,,,0,166,40,17,9
997076000004,"St. Clair Shores, Precinct 4",263,,,0,195,42,17,9
997076000005,"St. Clair Shores, Precinct 5",161,,,0,135,17,5,4
997076000006,"St. Clair Shores, Precinct 6",271,,,0,205,38,15,13
997076000007,"St. Clair Shores, Precinct 7",281,,,1,212,41,21,6
997076000008,"St. Clair Shores, Precinct 8",431,,,0,329,49,39,14
997076000009,"St. Clair Shores, Precinct 9",369,,,1,287,44,23,14
997076000010,"St. Clair Shores, Precinct 10",389,,,0,276,67,29,17
997076000011,"St. Clair Shores, Precinct 11",344,,,1,246,68,16,13
997076000012,"St. Clair Shores, Precinct 12",217,,,0,168,30,9,10
997646000001,"Sterling Heights, Precinct 1",46,,,0,29,8,5,4
997646000002,"Sterling Heights, Precinct 2",90,,,0,71,10,3,6
997646000003,"Sterling Heights, Precinct 3",111,,,0,85,15,7,4
997646000004,"Sterling Heights, Precinct 4",74,,,0,36,9,16,13
997646000005,"Sterling Heights, Precinct 5",64,,,0,46,7,7,4
997646000006,"Sterling Heights, Precinct 6",79,,,0,49,12,15,3
997646000007,"Sterling Heights, Precinct 7",119,,,0,82,25,4,8
997646000008,"Sterling Heights, Precinct 8",97,,,0,68,14,12,3
997646000009,"Sterling Heights, Precinct 9",135,,,0,106,19,4,6
997646000010,"Sterling Heights, Precinct 10",123,,,0,84,20,16,3
997646000011,"Sterling Heights, Precinct 11",182,,,0,125,38,14,5
997646000012,"Sterling Heights, Precinct 12",57,,,0,42,6,4,5
997646000013,"Sterling Heights, Precinct 13",159,,,0,114,20,18,7
997646000014,"Sterling Heights, Precinct 14",333,,,0,257,44,15,17
997646000015,"Sterling Heights, Precinct 15",163,,,0,105,36,17,5
997646000017,"Sterling Heights, Precinct 17",46,,,0,35,7,2,2
997646000018,"Sterling Heights, Precinct 18",114,,,0,87,21,6,0
997646000019,"Sterling Heights, Precinct 19",65,,,0,41,14,6,4
997646000020,"Sterling Heights, Precinct 20",72,,,0,50,15,3,4
997646000021,"Sterling Heights, Precinct 21",225,,,0,166,41,9,9
997646000022,"Sterling Heights, Precinct 22",136,,,0,104,27,3,2
997646000023,"Sterling Heights, Precinct 23",131,,,0,81,40,7,3
997646000025,"Sterling Heights, Precinct 25",49,,,0,35,7,6,1
997646000026,"Sterling Heights, Precinct 26",99,,,0,76,7,12,4
997646000027,"Sterling Heights, Precinct 27",114,,,0,76,30,4,4
997646000028,"Sterling Heights, Precinct 28",139,,,0,84,26,23,6
997646000029,"Sterling Heights, Precinct 29",137,,,0,96,28,9,4
997646000030,"Sterling Heights, Precinct 30",191,,,0,121,43,24,3
997646000031,"Sterling Heights, Precinct 31",116,,,0,91,9,12,4
997646000032,"Sterling Heights, Precinct 32",97,,,1,65,21,6,4
997646000033,"Sterling Heights, Precinct 33",53,,,0,32,14,5,2
997646000034,"Sterling Heights, Precinct 34",125,,,1,92,15,16,1
997646000035,"Sterling Heights, Precinct 35",127,,,1,100,18,6,2
997646000036,"Sterling Heights, Precinct 36",128,,,0,89,29,8,2
997646000037,"Sterling Heights, Precinct 37",81,,,0,43,22,14,2
997646000038,"Sterling Heights, Precinct 38",157,,,0,120,19,13,5
997646000039,"Sterling Heights, Precinct 39",125,,,1,91,16,11,6
997646000040,"Sterling Heights, Precinct 40",129,,,0,90,23,11,5
997646000042,"Sterling Heights, Precinct 42",126,,,0,93,19,13,1
997646000043,"Sterling Heights, Precinct 43",129,,,0,98,16,11,4
998154000001,"Utica, Precinct 1",187,,,0,148,31,3,5
998400001001,"Warren, Precinct 1",40,,,0,31,7,1,1
