id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
991432000001,"Center Line, Precinct 1",12,,,0,6,5,1
991432000002,"Center Line, Precinct 2",14,,,0,5,4,5
991432000003,"Center Line, Precinct 3",18,,,0,13,3,2
991432000004,"Center Line, Precinct 4",4,,,0,1,3,0
992429000001,"Eastpointe, Precinct 1",24,,,0,13,6,5
992429000002,"Eastpointe, Precinct 2",30,,,0,14,11,5
992429000003,"Eastpointe, Precinct 3",20,,,0,11,4,5
992429000004,"Eastpointe, Precinct 4",27,,,0,15,11,1
992429000005,"Eastpointe, Precinct 5",21,,,0,11,8,2
992429000006,"Eastpointe, Precinct 6",14,,,0,4,8,2
992429000007,"Eastpointe, Precinct 7",22,,,0,12,8,2
992429000008,"Eastpointe, Precinct 8",23,,,0,16,5,2
993042000001,"Fraser, Precinct 1",18,,,0,12,4,2
993042000002,"Fraser, Precinct 2",34,,,0,18,12,4
993042000003,"Fraser, Precinct 3",14,,,0,12,0,2
993042000004,"Fraser, Precinct 4",18,,,0,12,4,2
993042000005,"Fraser, Precinct 5",11,,,0,5,3,3
998245300002,Grosse Pointe Shores 2,2,,,0,1,1,0
995582000001,"Mount Clemens, Precinct 1",10,,,0,4,4,2
995582000002,"Mount Clemens, Precinct 2",18,,,0,9,7,2
995582000003,"Mount Clemens, Precinct 3",21,,,0,11,6,4
995582000004,"Mount Clemens, Precinct 4",15,,,0,5,9,1
995582000005,"Mount Clemens, Precinct 5",14,,,0,5,3,6
995582000006,"Mount Clemens, Precinct 6",31,,,0,18,10,3
996980000001,"Roseville, Precinct 1",16,,,0,6,4,6
996980000002,"Roseville, Precinct 2",32,,,0,21,9,2
996980000003,"Roseville, Precinct 3",11,,,0,4,2,5
996980000004,"Roseville, Precinct 4",23,,,0,10,10,3
996980000005,"Roseville, Precinct 5",10,,,0,6,3,1
996980000006,"Roseville, Precinct 6",16,,,0,12,1,3
996980000007,"Roseville, Precinct 7",11,,,0,5,5,1
996980000008,"Roseville, Precinct 8",27,,,0,13,11,3
996980000009,"Roseville, Precinct 9",18,,,0,11,3,4
996980000010,"Roseville, Precinct 10",4,,,0,0,3,1
996980000011,"Roseville, Precinct 11",20,,,0,12,6,2
996980000012,"Roseville, Precinct 12",31,,,0,23,5,3
997076000001,"St. Clair Shores, Precinct 1",52,,,0,20,25,7
997076000002,"St. Clair Shores, Precinct 2",28,,,0,16,8,4
997076000003,"St. Clair Shores, Precinct 3",43,,,0,22,13,8
997076000004,"St. Clair Shores, Precinct 4",25,,,0,14,8,3
997076000005,"St. Clair Shores, Precinct 5",16,,,0,7,4,5
997076000006,"St. Clair Shores, Precinct 6",51,,,0,28,12,11
997076000007,"St. Clair Shores, Precinct 7",34,,,0,14,13,7
997076000008,"St. Clair Shores, Precinct 8",52,,,0,29,20,3
997076000009,"St. Clair Shores, Precinct 9",38,,,0,15,15,8
997076000010,"St. Clair Shores, Precinct 10",42,,,0,16,17,9
