id,name,Amir Hassan,Al Lemmo,Thomas J. Smith,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",190,58,191,2
1457052000001,"City of Saginaw, Precinct 1",0,0,1,0
1457052000002,"City of Saginaw, Precinct 2",,,,
1457052000003,"City of Saginaw, Precinct 3",2,0,8,0
1457052000004,"City of Saginaw, Precinct 4",3,1,5,0
1457052000005,"City of Saginaw, Precinct 5",0,0,1,0
1457052000006,"City of Saginaw, Precinct 6",0,1,5,0
1457052000007,"City of Saginaw, Precinct 7",3,2,4,0
1457052000008,"City of Saginaw, Precinct 8",3,0,1,0
1457052000009,"City of Saginaw, Precinct 9",13,4,23,2
1457052000010,"City of Saginaw, Precinct 10",15,6,29,2
1457052000011,"City of Saginaw, Precinct 11",15,5,48,0
1457052000012,"City of Saginaw, Precinct 12",12,5,21,0
1457052000013,"City of Saginaw, Precinct 13",20,9,21,0
1457052000014,"City of Saginaw, Precinct 14",24,15,35,0
1457052000015,"City of Saginaw, Precinct 15",21,7,21,0
1457052000016,"City of Saginaw, Precinct 16",45,16,29,0
1458932000001,"City of Zilwaukee, Precinct 1",,,,
1450092000001,"Albee Township, Precinct 1",,,,
1450856000001,"Birch Run Township, Precinct 1",115,62,209,7
1450856000002,"Birch Run Township, Precinct 2",,,,
1450940000001,"Blumfield Township, Precinct 1",78,28,120,1
1450994000001,"Brady Township, Precinct 1",65,37,117,1
1451010000001,"Brant Township, Precinct 1",102,28,172,2
1451046000001,"Bridgeport Township, Precinct 1",45,25,71,2
1451046000002,"Bridgeport Township, Precinct 2",24,14,47,0
1451046000003,"Bridgeport Township, Precinct 3",69,17,125,0
1451156000001,"Buena Vista Charter Township, Precinct 1",,,,
1451156000002,"Buena Vista Charter Township, Precinct 2",9,8,14,0
1451156000003,"Buena Vista Charter Township, Precinct 3",3,1,9,1
1451354000001,"Carrollton Township, Precinct 1",13,14,32,0
1451354000002,"Carrollton Township, Precinct 2",38,18,55,1
1451466000001,"Chapin Township, Precinct 1",24,9,65,0
1451516000001,"Chesaning Township, Precinct 1",93,39,123,1
1453022000001,"Frankenmuth Township, Precinct 1",126,80,200,0
1453072000001,"Fremont Township, Precinct 1",79,40,163,1
1454148000001,"James Township, Precinct 1",111,34,125,0
1454190000001,"Jonesfield Township, Precinct 1",,,,
1454380000001,"Kochville Township, Precinct 1",53,13,73,0
1454456000001,"Lakefield Township, Precinct 1",55,17,67,0
0155096000001,"Maple Grove Township, Precinct 1",94,45,179,1
1515172000001,"Marion Township, Precinct 1",,,,
1176830000001,"Richland Township, Precinct 1",67,19,73,0
0776826000002,"Richland Township, Precinct 2",,,,
1457054000001,"Saginaw Township, Precinct 1",85,24,98,3
1457054000002,"Saginaw Township, Precinct 2",97,26,91,2
1457054000003,"Saginaw Township, Precinct 3",31,18,39,0
1457054000004,"Saginaw Township, Precinct 4",35,16,44,0
1457054000005,"Saginaw Township, Precinct 5",63,34,74,2
1457054000006,"Saginaw Township, Precinct 6",43,31,60,1
1457054000007,"Saginaw Township, Precinct 7",60,19,72,0
1457054000008,"Saginaw Township, Precinct 8",53,32,78,2
1457054000009,"Saginaw Township, Precinct 9",106,45,78,2
1457054000010,"Saginaw Township, Precinct 10",47,17,80,2
1457054000011,"Saginaw Township, Precinct 11",14,16,37,0
1457054000012,"Saginaw Township, Precinct 12",85,25,108,0
1457054000013,"Saginaw Township, Precinct 13",52,15,78,0
1457548000001,"Spaulding Township, Precinct 1",54,33,87,4
1457066000001,"St. Charles Township, Precinct 1",72,43,133,1
1457766000001,"Swan Creek Township, Precinct 1",134,49,216,2
1457910000001,"Taymouth Township, Precinct 1",102,62,180,1
1457952000001,"Thomas Township, Precinct 1",46,21,46,0
1457952000002,"Thomas Township, Precinct 2",57,19,53,2
1457952000003,"Thomas Township, Precinct 3",99,51,107,1
1457952000004,"Thomas Township, Precinct 4",30,16,32,0
1457952000005,"Thomas Township, Precinct 5",76,42,87,0
1457984000001,"Tittabawassee Township, Precinct 1",76,23,99,1
1457984000002,"Tittabawassee Township, Precinct 2",91,26,80,0
1457984000003,"Tittabawassee Township, Precinct 3",,,,
1457984000004,"Tittabawassee Township, Precinct 4",,,,
1458934000001,"Zilwaukee Township, Precinct 1",3,0,8,0
