id,name,Kristen McDonald Rivet,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",178,1
1457052000001,"City of Saginaw, Precinct 1",118,4
1457052000002,"City of Saginaw, Precinct 2",,
1457052000003,"City of Saginaw, Precinct 3",102,2
1457052000004,"City of Saginaw, Precinct 4",63,0
1457052000005,"City of Saginaw, Precinct 5",45,1
1457052000006,"City of Saginaw, Precinct 6",64,1
1457052000007,"City of Saginaw, Precinct 7",126,1
1457052000008,"City of Saginaw, Precinct 8",88,2
1457052000009,"City of Saginaw, Precinct 9",90,3
1457052000010,"City of Saginaw, Precinct 10",126,0
1457052000011,"City of Saginaw, Precinct 11",97,3
1457052000012,"City of Saginaw, Precinct 12",76,1
1457052000013,"City of Saginaw, Precinct 13",148,3
1457052000014,"City of Saginaw, Precinct 14",220,0
1457052000015,"City of Saginaw, Precinct 15",107,2
1457052000016,"City of Saginaw, Precinct 16",228,5
1458932000001,"City of Zilwaukee, Precinct 1",,
1450092000001,"Albee Township, Precinct 1",,
1450856000001,"Birch Run Township, Precinct 1",157,3
1450856000002,"Birch Run Township, Precinct 2",,
1450940000001,"Blumfield Township, Precinct 1",50,2
1450994000001,"Brady Township, Precinct 1",201,1
1451010000001,"Brant Township, Precinct 1",171,1
1451046000001,"Bridgeport Township, Precinct 1",122,3
1451046000002,"Bridgeport Township, Precinct 2",229,1
1451046000003,"Bridgeport Township, Precinct 3",108,2
1451156000001,"Buena Vista Charter Township, Precinct 1",,
1451156000002,"Buena Vista Charter Township, Precinct 2",134,1
1451156000003,"Buena Vista Charter Township, Precinct 3",129,0
1451354000001,"Carrollton Township, Precinct 1",113,2
1451354000002,"Carrollton Township, Precinct 2",176,3
1451466000001,"Chapin Township, Precinct 1",66,0
1451516000001,"Chesaning Township, Precinct 1",225,4
1453022000001,"Frankenmuth Township, Precinct 1",212,1
1453072000001,"Fremont Township, Precinct 1",189,1
1454148000001,"James Township, Precinct 1",195,0
1454190000001,"Jonesfield Township, Precinct 1",,
1454380000001,"Kochville Township, Precinct 1",122,3
1454456000001,"Lakefield Township, Precinct 1",89,2
0155096000001,"Maple Grove Township, Precinct 1",324,1
1515172000001,"Marion Township, Precinct 1",,
1176830000001,"Richland Township, Precinct 1",88,0
0776826000002,"Richland Township, Precinct 2",,
1457054000001,"Saginaw Township, Precinct 1",205,0
1457054000002,"Saginaw Township, Precinct 2",322,3
1457054000003,"Saginaw Township, Precinct 3",185,2
1457054000004,"Saginaw Township, Precinct 4",105,0
1457054000005,"Saginaw Township, Precinct 5",191,1
1457054000006,"Saginaw Township, Precinct 6",189,2
1457054000007,"Saginaw Township, Precinct 7",211,0
1457054000008,"Saginaw Township, Precinct 8",209,2
1457054000009,"Saginaw Township, Precinct 9",284,3
1457054000010,"Saginaw Township, Precinct 10",168,1
1457054000011,"Saginaw Township, Precinct 11",156,1
1457054000012,"Saginaw Township, Precinct 12",276,4
1457054000013,"Saginaw Township, Precinct 13",204,0
1457548000001,"Spaulding Township, Precinct 1",230,0
1457066000001,"St. Charles Township, Precinct 1",137,1
1457766000001,"Swan Creek Township, Precinct 1",278,0
1457910000001,"Taymouth Township, Precinct 1",202,2
1457952000001,"Thomas Township, Precinct 1",77,3
1457952000002,"Thomas Township, Precinct 2",103,0
1457952000003,"Thomas Township, Precinct 3",138,2
1457952000004,"Thomas Township, Precinct 4",76,0
1457952000005,"Thomas Township, Precinct 5",187,2
1457984000001,"Tittabawassee Township, Precinct 1",120,0
1457984000002,"Tittabawassee Township, Precinct 2",110,0
1457984000003,"Tittabawassee Township, Precinct 3",,
1457984000004,"Tittabawassee Township, Precinct 4",,
1458934000001,"Zilwaukee Township, Precinct 1",3,0
