id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
650080000001,"Alaiedon Township, Precinct 1",5,4,0
650080000002,"Alaiedon Township, Precinct 2",6,2,0
650424000001,"Aurelius Township, Precinct 1",17,4,0
650424000002,"Aurelius Township, Precinct 2",8,1,0
651164000001,"Bunker Hill Township, Precinct 1",14,0,0
652142000001,"Delhi Charter Township, Precinct 1",40,7,2
652142000002,"Delhi Charter Township, Precinct 2",43,9,0
652142000003,"Delhi Charter Township, Precinct 3",59,17,0
652142000004,"Delhi Charter Township, Precinct 4",58,13,1
652142000005,"Delhi Charter Township, Precinct 5",40,8,0
652142000006,"Delhi Charter Township, Precinct 6",13,6,0
652142000007,"Delhi Charter Township, Precinct 7",25,6,0
652412000001,"City of East Lansing, Precinct 1",132,19,1
652412000002,"City of East Lansing, Precinct 2",96,17,1
652412000003,"City of East Lansing, Precinct 3",66,9,1
652412000004,"City of East Lansing, Precinct 4",38,8,1
652412000005,"City of East Lansing, Precinct 5",46,2,0
652412000006,"City of East Lansing, Precinct 6",87,17,1
652412000007,"City of East Lansing, Precinct 7",43,14,1
652412000009,"City of East Lansing, Precinct 9",17,4,0
652412000010,"City of East Lansing, Precinct 10",7,0,0
652412000011,"City of East Lansing, Precinct 11",6,1,0
652412000012,"City of East Lansing, Precinct 12",3,0,0
652412000013,"City of East Lansing, Precinct 13",4,1,0
654064000001,"Ingham Township, Precinct 1",10,1,0
654600001001,"City of Lansing, Ward 1, Precinct 1",17,6,0
654600001002,"City of Lansing, Ward 1, Precinct 2",36,1,1
654600001003,"City of Lansing, Ward 1, Precinct 3",58,8,1
654600001005,"City of Lansing, Ward 1, Precinct 5",87,22,2
654600001008,"City of Lansing, Ward 1, Precinct 8",101,18,1
654600001009,"City of Lansing, Ward 1, Precinct 9",11,3,1
654600001010,"City of Lansing, Ward 1, Precinct 10",29,4,0
654600002012,"City of Lansing, Ward 2, Precinct 12",35,7,0
654600002013,"City of Lansing, Ward 2, Precinct 13",34,7,0
654600002014,"City of Lansing, Ward 2, Precinct 14",19,6,0
654600002015,"City of Lansing, Ward 2, Precinct 15",40,17,0
654600002017,"City of Lansing, Ward 2, Precinct 17",28,4,0
654600002018,"City of Lansing, Ward 2, Precinct 18",47,6,1
654600002020,"City of Lansing, Ward 2, Precinct 20",44,15,0
654600003023,"City of Lansing, Ward 3, Precinct 23",61,10,0
654600003025,"City of Lansing, Ward 3, Precinct 25",43,8,1
654600003027,"City of Lansing, Ward 3, Precinct 27",19,8,0
654600003028,"City of Lansing, Ward 3, Precinct 28",23,9,0
654600003030,"City of Lansing, Ward 3, Precinct 30",28,4,1
654600004032,"City of Lansing, Ward 4, Precinct 32",58,9,0
654600004034,"City of Lansing, Ward 4, Precinct 34",53,15,0
654600004035,"City of Lansing, Ward 4, Precinct 35",35,6,0
654600004036,"City of Lansing, Ward 4, Precinct 36",57,10,0
654600004037,"City of Lansing, Ward 4, Precinct 37",24,8,0
654600004038,"City of Lansing, Ward 4, Precinct 38",20,6,1
654600004039,"City of Lansing, Ward 4, Precinct 39",47,14,2
654602000001,"Lansing Charter Township, Precinct 1",42,10,0
654602000002,"Lansing Charter Township, Precinct 2",29,11,0
654708000001,"Leroy Township, Precinct 1",12,4,0
654718000001,"City of Leslie, Precinct 1",7,2,0
654720000001,"Leslie Township, Precinct 1",13,1,0
654904000001,"Locke Township, Precinct 1",7,4,0
655218000001,"City of Mason, Precinct 1",62,13,0
655218000002,"City of Mason, Precinct 2",60,19,0
655314000001,"Meridian Charter Township, Precinct 1",90,21,1
655314000002,"Meridian Charter Township, Precinct 2",97,12,0
655314000003,"Meridian Charter Township, Precinct 3",60,14,0
655314000004,"Meridian Charter Township, Precinct 4",76,16,0
655314000005,"Meridian Charter Township, Precinct 5",1,1,0
655314000006,"Meridian Charter Township, Precinct 6",36,9,0
655314000007,"Meridian Charter Township, Precinct 7",33,4,0
655314000008,"Meridian Charter Township, Precinct 8",76,21,1
655314000009,"Meridian Charter Township, Precinct 9",9,0,0
655314000010,"Meridian Charter Township, Precinct 10",43,14,0
655314000011,"Meridian Charter Township, Precinct 11",41,17,0
655314000012,"Meridian Charter Township, Precinct 12",17,4,0
655314000013,"Meridian Charter Township, Precinct 13",82,20,1
655314000014,"Meridian Charter Township, Precinct 14",95,17,2
656080000001,"Onondaga Township, Precinct 1",2,3,0
657658000001,"Stockbridge Township, Precinct 1",22,14,0
658222000001,"Vevay Township, Precinct 1",34,12,0
658652000001,"Wheatfield Township, Precinct 1",13,4,0
658690000001,"White Oak Township, Precinct 1",1,1,0
658742000001,"City of Williamston, Precinct 1",38,7,0
658744000001,"Williamstown Township, Precinct 1",42,13,0
658744000002,"Williamstown Township, Precinct 2",30,5,1
