id,name,Tom Barrett,Write-in
650080000001,"Alaiedon Township, Precinct 1",74,0
650080000002,"Alaiedon Township, Precinct 2",81,0
650424000001,"Aurelius Township, Precinct 1",119,0
650424000002,"Aurelius Township, Precinct 2",83,0
651164000001,"Bunker Hill Township, Precinct 1",220,1
652142000001,"Delhi Charter Township, Precinct 1",116,0
652142000002,"Delhi Charter Township, Precinct 2",58,0
652142000003,"Delhi Charter Township, Precinct 3",135,1
652142000004,"Delhi Charter Township, Precinct 4",142,0
652142000005,"Delhi Charter Township, Precinct 5",110,1
652142000006,"Delhi Charter Township, Precinct 6",76,0
652142000007,"Delhi Charter Township, Precinct 7",83,1
652412000001,"City of East Lansing, Precinct 1",36,0
652412000002,"City of East Lansing, Precinct 2",49,0
652412000003,"City of East Lansing, Precinct 3",31,0
652412000004,"City of East Lansing, Precinct 4",40,1
652412000005,"City of East Lansing, Precinct 5",10,0
652412000006,"City of East Lansing, Precinct 6",21,0
652412000007,"City of East Lansing, Precinct 7",32,2
652412000009,"City of East Lansing, Precinct 9",5,0
652412000010,"City of East Lansing, Precinct 10",1,0
652412000011,"City of East Lansing, Precinct 11",1,0
652412000012,"City of East Lansing, Precinct 12",2,0
652412000013,"City of East Lansing, Precinct 13",1,0
654064000001,"Ingham Township, Precinct 1",279,2
654600001001,"City of Lansing, Ward 1, Precinct 1",95,0
654600001002,"City of Lansing, Ward 1, Precinct 2",15,2
654600001003,"City of Lansing, Ward 1, Precinct 3",89,0
654600001005,"City of Lansing, Ward 1, Precinct 5",39,1
654600001008,"City of Lansing, Ward 1, Precinct 8",35,0
654600001009,"City of Lansing, Ward 1, Precinct 9",18,0
654600001010,"City of Lansing, Ward 1, Precinct 10",29,0
654600002012,"City of Lansing, Ward 2, Precinct 12",76,1
654600002013,"City of Lansing, Ward 2, Precinct 13",42,2
654600002014,"City of Lansing, Ward 2, Precinct 14",33,0
654600002015,"City of Lansing, Ward 2, Precinct 15",72,0
654600002017,"City of Lansing, Ward 2, Precinct 17",31,0
654600002018,"City of Lansing, Ward 2, Precinct 18",45,2
654600002020,"City of Lansing, Ward 2, Precinct 20",34,1
654600003023,"City of Lansing, Ward 3, Precinct 23",55,0
654600003025,"City of Lansing, Ward 3, Precinct 25",53,0
654600003027,"City of Lansing, Ward 3, Precinct 27",29,0
654600003028,"City of Lansing, Ward 3, Precinct 28",35,1
654600003030,"City of Lansing, Ward 3, Precinct 30",43,0
654600004032,"City of Lansing, Ward 4, Precinct 32",78,2
654600004034,"City of Lansing, Ward 4, Precinct 34",54,0
654600004035,"City of Lansing, Ward 4, Precinct 35",29,3
654600004036,"City of Lansing, Ward 4, Precinct 36",15,0
654600004037,"City of Lansing, Ward 4, Precinct 37",23,0
654600004038,"City of Lansing, Ward 4, Precinct 38",20,0
654600004039,"City of Lansing, Ward 4, Precinct 39",109,1
654602000001,"Lansing Charter Township, Precinct 1",104,0
654602000002,"Lansing Charter Township, Precinct 2",70,0
654708000001,"Leroy Township, Precinct 1",212,1
654718000001,"City of Leslie, Precinct 1",106,0
654720000001,"Leslie Township, Precinct 1",295,0
654904000001,"Locke Township, Precinct 1",248,3
655218000001,"City of Mason, Precinct 1",163,0
655218000002,"City of Mason, Precinct 2",229,0
655314000001,"Meridian Charter Township, Precinct 1",118,1
655314000002,"Meridian Charter Township, Precinct 2",68,0
655314000003,"Meridian Charter Township, Precinct 3",82,1
655314000004,"Meridian Charter Township, Precinct 4",100,0
655314000005,"Meridian Charter Township, Precinct 5",0,0
655314000006,"Meridian Charter Township, Precinct 6",37,0
655314000007,"Meridian Charter Township, Precinct 7",57,1
655314000008,"Meridian Charter Township, Precinct 8",69,0
655314000009,"Meridian Charter Township, Precinct 9",4,0
655314000010,"Meridian Charter Township, Precinct 10",34,0
655314000011,"Meridian Charter Township, Precinct 11",58,2
655314000012,"Meridian Charter Township, Precinct 12",16,0
655314000013,"Meridian Charter Township, Precinct 13",37,0
655314000014,"Meridian Charter Township, Precinct 14",72,0
656080000001,"Onondaga Township, Precinct 1",335,0
657658000001,"Stockbridge Township, Precinct 1",488,1
658222000001,"Vevay Township, Precinct 1",178,0
658652000001,"Wheatfield Township, Precinct 1",236,0
658690000001,"White Oak Township, Precinct 1",174,2
658742000001,"City of Williamston, Precinct 1",125,0
658744000001,"Williamstown Township, Precinct 1",117,0
658744000002,"Williamstown Township, Precinct 2",133,0
